caseid,activity,resource,ts
Application_2082119944,W_Handle leads,User_1,2016-01-01 22:16:02.591
Application_2082119944,W_Complete application,User_1,2016-01-01 22:16:02.601
Application_2082119944,A_Concept,User_1,2016-01-01 22:16:02.611
Application_1846626914,A_Create Application,User_1,2016-01-02 09:57:01.662
Application_1846626914,A_Submitted,User_1,2016-01-02 09:57:01.734
Application_1846626914,W_Handle leads,User_1,2016-01-02 09:57:02.164
Application_546206358,A_Create Application,User_1,2016-01-02 09:57:03.601
Application_546206358,A_Submitted,User_1,2016-01-02 09:57:03.637
Application_546206358,W_Handle leads,User_1,2016-01-02 09:57:03.828
Application_1846626914,W_Handle leads,User_1,2016-01-02 09:58:40.757
Application_1846626914,W_Complete application,User_1,2016-01-02 09:58:40.799
Application_1846626914,A_Concept,User_1,2016-01-02 09:58:40.809
Application_546206358,W_Handle leads,User_1,2016-01-02 09:59:10.784
Application_546206358,W_Complete application,User_1,2016-01-02 09:59:10.793
Application_546206358,A_Concept,User_1,2016-01-02 09:59:10.800
Application_1363980603,A_Create Application,User_1,2016-01-02 10:24:04.072
Application_1363980603,A_Submitted,User_1,2016-01-02 10:24:04.134
Application_1363980603,W_Handle leads,User_1,2016-01-02 10:24:04.771
Application_1363980603,W_Handle leads,User_1,2016-01-02 10:24:52.057
Application_1363980603,W_Complete application,User_1,2016-01-02 10:24:52.071
Application_1363980603,A_Concept,User_1,2016-01-02 10:24:52.081
Application_1806387393,W_Handle leads,User_17,2016-01-02 10:38:15.267
Application_1806387393,W_Complete application,User_17,2016-01-02 10:39:26.336
Application_1806387393,W_Complete application,User_38,2016-01-02 10:39:26.338
Application_1806387393,A_Concept,User_17,2016-01-02 10:39:26.342
Application_1806387393,W_Complete application,User_17,2016-01-02 10:39:29.719
Application_1120819670,A_Accepted,User_17,2016-01-02 10:52:01.847
Application_1120819670,O_Create Offer,User_17,2016-01-02 10:55:46.369
Application_1120819670,O_Created,User_17,2016-01-02 10:55:47.693
Application_1120819670,O_Sent (mail and online),User_17,2016-01-02 10:59:50.268
Application_1120819670,W_Complete application,User_17,2016-01-02 10:59:50.290
Application_1120819670,W_Call after offers,User_17,2016-01-02 10:59:50.299
Application_1120819670,W_Call after offers,User_17,2016-01-02 10:59:50.303
Application_1120819670,A_Complete,User_17,2016-01-02 10:59:50.307
Application_1120819670,W_Call after offers,User_17,2016-01-02 11:02:05.856
Application_652823628,W_Complete application,User_17,2016-01-02 11:45:22.429
Application_652823628,W_Complete application,User_17,2016-01-02 11:49:28.816
Application_1691306052,W_Complete application,User_38,2016-01-02 11:50:42.796
Application_1691306052,W_Complete application,User_17,2016-01-02 11:51:27.582
Application_1691306052,W_Complete application,User_38,2016-01-02 11:53:34.108
Application_428409768,W_Complete application,User_19,2016-01-02 11:55:03.169
Application_1691306052,A_Accepted,User_38,2016-01-02 11:59:44.735
Application_1691306052,O_Create Offer,User_38,2016-01-02 12:02:38.994
Application_1691306052,O_Created,User_38,2016-01-02 12:02:40.442
Application_428409768,A_Accepted,User_19,2016-01-02 12:02:44.472
Application_1691306052,O_Sent (mail and online),User_38,2016-01-02 12:03:05.300
Application_1691306052,W_Call after offers,User_38,2016-01-02 12:03:05.337
Application_1691306052,W_Call after offers,User_38,2016-01-02 12:03:05.343
Application_1691306052,A_Complete,User_38,2016-01-02 12:03:05.346
Application_428409768,O_Create Offer,User_19,2016-01-02 12:05:15.942
Application_428409768,O_Created,User_19,2016-01-02 12:05:17.204
Application_428409768,O_Sent (mail and online),User_19,2016-01-02 12:06:53.268
Application_428409768,W_Call after offers,User_19,2016-01-02 12:06:53.310
Application_428409768,W_Call after offers,User_19,2016-01-02 12:06:53.312
Application_428409768,A_Complete,User_19,2016-01-02 12:06:53.316
Application_428409768,W_Call after offers,User_19,2016-01-02 12:07:21.200
Application_1691306052,W_Call after offers,User_38,2016-01-02 12:09:15.653
Application_1059184025,A_Create Application,User_38,2016-01-02 12:10:04.322
Application_1059184025,W_Complete application,User_38,2016-01-02 12:10:04.331
Application_1059184025,W_Complete application,User_38,2016-01-02 12:10:04.334
Application_1059184025,A_Concept,User_38,2016-01-02 12:10:04.337
Application_1059184025,W_Complete application,User_38,2016-01-02 12:10:46.851
Application_652823628,A_Accepted,User_52,2016-01-02 12:23:04.299
Application_1395142997,A_Create Application,User_1,2016-01-02 12:23:37.115
Application_1395142997,A_Submitted,User_1,2016-01-02 12:23:37.155
Application_1395142997,W_Handle leads,User_1,2016-01-02 12:23:37.875
Application_1395142997,W_Handle leads,User_1,2016-01-02 12:24:55.867
Application_1395142997,W_Complete application,User_1,2016-01-02 12:24:55.885
Application_1395142997,A_Concept,User_1,2016-01-02 12:24:55.899
Application_428409768,O_Create Offer,User_19,2016-01-02 12:25:44.202
Application_428409768,O_Created,User_19,2016-01-02 12:25:45.416
Application_428409768,O_Cancelled,User_19,2016-01-02 12:26:06.088
Application_428409768,O_Sent (mail and online),User_19,2016-01-02 12:26:19.140
Application_652823628,O_Create Offer,User_52,2016-01-02 12:29:03.994
Application_652823628,O_Created,User_52,2016-01-02 12:29:05.354
Application_652823628,O_Sent (mail and online),User_52,2016-01-02 12:30:28.606
Application_652823628,W_Complete application,User_52,2016-01-02 12:30:28.621
Application_652823628,W_Call after offers,User_52,2016-01-02 12:30:28.629
Application_652823628,W_Call after offers,User_52,2016-01-02 12:30:28.631
Application_652823628,A_Complete,User_52,2016-01-02 12:30:28.633
Application_1193723578,A_Create Application,User_1,2016-01-02 12:32:06.644
Application_1193723578,A_Submitted,User_1,2016-01-02 12:32:06.724
Application_1193723578,W_Handle leads,User_1,2016-01-02 12:32:06.952
Application_652823628,W_Call after offers,User_52,2016-01-02 12:32:41.624
Application_1193723578,W_Handle leads,User_1,2016-01-02 12:33:15.344
Application_1193723578,W_Complete application,User_1,2016-01-02 12:33:15.356
Application_1193723578,A_Concept,User_1,2016-01-02 12:33:15.362
Application_1059184025,A_Accepted,User_38,2016-01-02 12:39:39.610
Application_1266995739,W_Complete application,User_19,2016-01-02 12:46:28.903
Application_1266995739,W_Complete application,User_19,2016-01-02 12:46:43.959
Application_1059184025,O_Create Offer,User_38,2016-01-02 12:48:58.028
Application_1059184025,O_Created,User_38,2016-01-02 12:48:59.193
Application_1699757505,A_Create Application,User_1,2016-01-02 13:04:29.676
Application_1699757505,A_Submitted,User_1,2016-01-02 13:04:29.713
Application_1699757505,W_Handle leads,User_1,2016-01-02 13:04:30.272
Application_1699757505,W_Handle leads,User_1,2016-01-02 13:05:29.384
Application_1699757505,W_Complete application,User_1,2016-01-02 13:05:29.392
Application_1699757505,A_Concept,User_1,2016-01-02 13:05:29.397
Application_493034835,A_Create Application,User_3,2016-01-02 13:24:39.241
Application_493034835,A_Concept,User_3,2016-01-02 13:24:39.245
Application_493034835,W_Complete application,User_3,2016-01-02 13:24:39.250
Application_493034835,W_Complete application,User_3,2016-01-02 13:24:39.253
Application_493034835,A_Accepted,User_3,2016-01-02 13:29:45.915
Application_493034835,O_Create Offer,User_3,2016-01-02 13:31:00.150
Application_493034835,O_Created,User_3,2016-01-02 13:31:01.388
Application_493034835,O_Sent (mail and online),User_3,2016-01-02 13:31:11.640
Application_493034835,W_Call after offers,User_3,2016-01-02 13:31:11.662
Application_493034835,W_Call after offers,User_3,2016-01-02 13:31:11.665
Application_493034835,A_Complete,User_3,2016-01-02 13:31:11.667
Application_493034835,W_Call after offers,User_3,2016-01-02 13:32:38.936
Application_842511489,A_Create Application,User_3,2016-01-02 13:35:04.926
Application_842511489,A_Concept,User_3,2016-01-02 13:35:04.928
Application_842511489,W_Complete application,User_3,2016-01-02 13:35:04.935
Application_842511489,W_Complete application,User_3,2016-01-02 13:35:04.937
Application_842511489,A_Accepted,User_3,2016-01-02 13:36:27.206
Application_842511489,W_Complete application,User_3,2016-01-02 13:36:42.180
Application_1474017032,A_Create Application,User_3,2016-01-02 13:38:45.653
Application_1474017032,A_Concept,User_3,2016-01-02 13:38:45.656
Application_1474017032,W_Complete application,User_3,2016-01-02 13:38:45.663
Application_1474017032,W_Complete application,User_3,2016-01-02 13:38:45.666
Application_1474017032,A_Accepted,User_3,2016-01-02 13:40:15.043
Application_1474017032,W_Complete application,User_3,2016-01-02 13:40:25.514
Application_1059184025,O_Cancelled,User_38,2016-01-02 13:42:59.321
Application_1059184025,O_Create Offer,User_38,2016-01-02 13:50:23.006
Application_1059184025,O_Created,User_38,2016-01-02 13:50:24.284
Application_1059184025,O_Sent (mail and online),User_38,2016-01-02 13:50:37.195
Application_1059184025,W_Complete application,User_38,2016-01-02 13:50:37.210
Application_1059184025,W_Call after offers,User_38,2016-01-02 13:50:37.217
Application_1059184025,W_Call after offers,User_38,2016-01-02 13:50:37.220
Application_1059184025,A_Complete,User_38,2016-01-02 13:50:37.222
Application_1059184025,W_Call after offers,User_38,2016-01-02 14:02:52.659
Application_2035768049,A_Create Application,User_52,2016-01-02 14:07:12.386
Application_2035768049,A_Concept,User_52,2016-01-02 14:07:12.389
Application_2035768049,W_Complete application,User_52,2016-01-02 14:07:12.395
Application_2035768049,W_Complete application,User_28,2016-01-02 14:07:12.397
Application_2035768049,W_Complete application,User_52,2016-01-02 14:10:09.377
Application_1307111345,A_Create Application,User_52,2016-01-02 14:11:46.112
Application_1307111345,A_Concept,User_52,2016-01-02 14:11:46.115
Application_1307111345,W_Complete application,User_52,2016-01-02 14:11:46.121
Application_1307111345,W_Complete application,User_52,2016-01-02 14:11:46.123
Application_1307111345,W_Complete application,User_52,2016-01-02 14:14:07.224
Application_821425679,A_Create Application,User_52,2016-01-02 14:18:32.154
Application_821425679,A_Concept,User_52,2016-01-02 14:18:32.158
Application_821425679,W_Complete application,User_52,2016-01-02 14:18:32.176
Application_821425679,W_Complete application,User_52,2016-01-02 14:18:32.181
Application_821425679,W_Complete application,User_52,2016-01-02 14:21:59.359
Application_1266995739,W_Complete application,User_19,2016-01-02 14:28:22.185
Application_1266995739,W_Complete application,User_19,2016-01-02 14:28:52.418
Application_1266995739,W_Complete application,User_3,2016-01-02 14:29:33.936
Application_1266995739,W_Complete application,User_3,2016-01-02 14:29:43.478
Application_1266995739,W_Complete application,User_38,2016-01-02 14:30:27.664
Application_1266995739,W_Complete application,User_38,2016-01-02 14:31:56.075
Application_1878239836,W_Complete application,User_3,2016-01-02 14:32:03.433
Application_1266995739,A_Accepted,User_3,2016-01-02 14:35:32.248
Application_1878239836,W_Complete application,User_38,2016-01-02 14:37:53.499
Application_1059184025,O_Create Offer,User_19,2016-01-02 14:38:07.682
Application_1059184025,O_Created,User_19,2016-01-02 14:38:09.021
Application_1266995739,O_Create Offer,User_3,2016-01-02 14:38:19.507
Application_1266995739,O_Created,User_3,2016-01-02 14:38:20.745
Application_1266995739,O_Sent (mail and online),User_3,2016-01-02 14:38:31.338
Application_1266995739,W_Complete application,User_3,2016-01-02 14:38:31.354
Application_1266995739,W_Call after offers,User_3,2016-01-02 14:38:31.363
Application_1266995739,W_Call after offers,User_3,2016-01-02 14:38:31.366
Application_1266995739,A_Complete,User_3,2016-01-02 14:38:31.368
Application_1266995739,W_Call after offers,User_3,2016-01-02 14:39:23.150
Application_1059184025,O_Sent (mail and online),User_19,2016-01-02 14:41:36.550
Application_1059184025,O_Cancelled,User_19,2016-01-02 14:41:43.962
Application_1878239836,W_Complete application,User_3,2016-01-02 14:50:50.143
Application_1878239836,A_Accepted,User_3,2016-01-02 14:59:27.406
Application_1878239836,O_Create Offer,User_3,2016-01-02 14:59:59.998
Application_1878239836,O_Created,User_3,2016-01-02 15:00:01.362
Application_1878239836,O_Sent (mail and online),User_3,2016-01-02 15:00:19.890
Application_1878239836,W_Call after offers,User_3,2016-01-02 15:00:20.000
Application_1878239836,W_Call after offers,User_3,2016-01-02 15:00:20.005
Application_1878239836,A_Complete,User_3,2016-01-02 15:00:20.011
Application_1878239836,W_Call after offers,User_3,2016-01-02 15:01:29.241
Application_1846626914,W_Complete application,User_38,2016-01-02 16:00:30.872
Application_1846626914,W_Complete application,User_17,2016-01-02 16:00:35.293
Application_351152063,A_Create Application,User_52,2016-01-02 16:05:26.838
Application_351152063,A_Concept,User_52,2016-01-02 16:05:26.842
Application_351152063,W_Complete application,User_52,2016-01-02 16:05:26.862
Application_351152063,W_Complete application,User_52,2016-01-02 16:05:26.868
Application_351152063,W_Complete application,User_52,2016-01-02 16:07:27.759
Application_1547844908,A_Create Application,User_17,2016-01-02 16:09:45.377
Application_1547844908,W_Complete application,User_17,2016-01-02 16:09:45.386
Application_1547844908,W_Complete application,User_17,2016-01-02 16:09:45.389
Application_1547844908,A_Concept,User_17,2016-01-02 16:09:45.391
Application_1547844908,A_Accepted,User_17,2016-01-02 16:11:01.531
Application_1547844908,O_Create Offer,User_17,2016-01-02 16:17:01.388
Application_1547844908,O_Created,User_17,2016-01-02 16:17:02.653
Application_1111870538,W_Complete application,User_43,2016-01-02 16:17:59.163
Application_1547844908,O_Sent (mail and online),User_17,2016-01-02 16:19:18.037
Application_1547844908,W_Call after offers,User_17,2016-01-02 16:19:18.060
Application_1547844908,W_Call after offers,User_17,2016-01-02 16:19:18.062
Application_1547844908,A_Complete,User_17,2016-01-02 16:19:18.065
Application_180547487,W_Complete application,User_19,2016-01-02 16:21:33.928
Application_1547844908,W_Call after offers,User_17,2016-01-02 16:22:44.618
Application_180547487,A_Accepted,User_19,2016-01-02 16:29:33.297
Application_180547487,O_Create Offer,User_19,2016-01-02 16:31:45.711
Application_180547487,O_Created,User_19,2016-01-02 16:31:47.001
Application_180547487,O_Sent (mail and online),User_19,2016-01-02 16:34:40.607
Application_180547487,W_Call after offers,User_19,2016-01-02 16:34:40.628
Application_180547487,W_Call after offers,User_19,2016-01-02 16:34:40.630
Application_180547487,A_Complete,User_19,2016-01-02 16:34:40.633
Application_180547487,W_Call after offers,User_19,2016-01-02 16:35:59.087
Application_2055987002,A_Create Application,User_17,2016-01-02 16:36:05.498
Application_2055987002,A_Concept,User_17,2016-01-02 16:36:05.507
Application_2055987002,W_Complete application,User_17,2016-01-02 16:36:05.569
Application_2055987002,W_Complete application,User_17,2016-01-02 16:36:05.572
Application_1111870538,W_Complete application,User_3,2016-01-02 16:36:49.405
Application_2055987002,A_Accepted,User_17,2016-01-02 16:38:50.645
Application_1111870538,W_Complete application,User_3,2016-01-02 16:39:09.644
Application_1111870538,W_Complete application,User_3,2016-01-02 16:39:55.015
Application_2055987002,O_Create Offer,User_17,2016-01-02 16:41:10.746
Application_2055987002,O_Created,User_17,2016-01-02 16:41:12.040
Application_2055987002,O_Sent (mail and online),User_17,2016-01-02 16:41:44.277
Application_2055987002,W_Call after offers,User_17,2016-01-02 16:41:44.319
Application_2055987002,W_Call after offers,User_17,2016-01-02 16:41:44.322
Application_2055987002,A_Complete,User_17,2016-01-02 16:41:44.325
Application_2055987002,W_Call after offers,User_17,2016-01-02 16:43:47.035
Application_1898882436,A_Create Application,User_1,2016-01-02 17:28:40.753
Application_1898882436,A_Submitted,User_1,2016-01-02 17:28:40.799
Application_1898882436,W_Handle leads,User_1,2016-01-02 17:28:41.137
Application_1898882436,W_Handle leads,User_1,2016-01-02 17:30:13.421
Application_1898882436,W_Complete application,User_1,2016-01-02 17:30:13.430
Application_1898882436,A_Concept,User_1,2016-01-02 17:30:13.438
Application_1603124379,A_Create Application,User_1,2016-01-02 17:57:47.627
Application_1603124379,A_Submitted,User_1,2016-01-02 17:57:47.661
Application_1603124379,W_Handle leads,User_1,2016-01-02 17:57:47.831
Application_1603124379,W_Handle leads,User_1,2016-01-02 17:58:31.226
Application_1603124379,W_Complete application,User_1,2016-01-02 17:58:31.233
Application_1603124379,A_Concept,User_1,2016-01-02 17:58:31.237
Application_486645986,A_Create Application,User_1,2016-01-02 19:36:32.396
Application_486645986,A_Submitted,User_1,2016-01-02 19:36:32.427
Application_486645986,W_Handle leads,User_1,2016-01-02 19:36:32.635
Application_486645986,W_Handle leads,User_1,2016-01-02 19:37:33.168
Application_486645986,W_Complete application,User_1,2016-01-02 19:37:33.176
Application_486645986,A_Concept,User_1,2016-01-02 19:37:33.182
Application_901793095,A_Create Application,User_1,2016-01-02 20:31:09.947
Application_901793095,A_Submitted,User_1,2016-01-02 20:31:09.982
Application_901793095,W_Handle leads,User_1,2016-01-02 20:31:10.341
Application_901793095,W_Handle leads,User_1,2016-01-02 20:32:49.814
Application_901793095,W_Complete application,User_1,2016-01-02 20:32:49.822
Application_901793095,A_Concept,User_1,2016-01-02 20:32:49.828
Application_1535675187,A_Create Application,User_1,2016-01-02 23:21:24.654
Application_1535675187,A_Submitted,User_1,2016-01-02 23:21:24.689
Application_1535675187,W_Handle leads,User_1,2016-01-02 23:21:25.245
Application_1767756144,A_Create Application,User_1,2016-01-03 04:12:06.921
Application_1767756144,A_Submitted,User_1,2016-01-03 04:12:06.956
Application_1767756144,W_Handle leads,User_1,2016-01-03 04:12:07.300
Application_1767756144,W_Handle leads,User_1,2016-01-03 04:13:09.109
Application_1767756144,W_Complete application,User_1,2016-01-03 04:13:09.153
Application_1767756144,A_Concept,User_1,2016-01-03 04:13:09.159
Application_1300843234,A_Create Application,User_1,2016-01-03 10:06:51.553
Application_1300843234,A_Submitted,User_1,2016-01-03 10:06:51.606
Application_1300843234,W_Handle leads,User_1,2016-01-03 10:06:51.787
Application_1300843234,W_Handle leads,User_1,2016-01-03 10:08:05.201
Application_1300843234,W_Complete application,User_1,2016-01-03 10:08:05.209
Application_1300843234,A_Concept,User_1,2016-01-03 10:08:05.215
Application_505474597,A_Create Application,User_1,2016-01-03 10:58:49.721
Application_505474597,A_Submitted,User_1,2016-01-03 10:58:49.758
Application_505474597,W_Handle leads,User_1,2016-01-03 10:58:50.122
Application_1765204099,A_Create Application,User_1,2016-01-03 10:58:59.556
Application_1765204099,A_Submitted,User_1,2016-01-03 10:58:59.587
Application_1765204099,W_Handle leads,User_1,2016-01-03 10:58:59.891
Application_505474597,W_Handle leads,User_1,2016-01-03 11:00:13.433
Application_505474597,W_Complete application,User_1,2016-01-03 11:00:13.508
Application_505474597,A_Concept,User_1,2016-01-03 11:00:13.514
Application_1765204099,W_Handle leads,User_1,2016-01-03 11:00:52.559
Application_1765204099,W_Complete application,User_1,2016-01-03 11:00:52.567
Application_1765204099,A_Concept,User_1,2016-01-03 11:00:52.572
Application_1448214642,A_Create Application,User_1,2016-01-03 11:38:25.737
Application_1448214642,A_Submitted,User_1,2016-01-03 11:38:25.774
Application_1448214642,W_Handle leads,User_1,2016-01-03 11:38:26.095
Application_1448214642,W_Handle leads,User_1,2016-01-03 11:39:41.747
Application_1448214642,W_Complete application,User_1,2016-01-03 11:39:41.755
Application_1448214642,A_Concept,User_1,2016-01-03 11:39:41.762
Application_987262285,A_Create Application,User_1,2016-01-03 11:59:06.782
Application_987262285,A_Submitted,User_1,2016-01-03 11:59:06.832
Application_987262285,W_Handle leads,User_1,2016-01-03 11:59:07.021
Application_1845547664,A_Create Application,User_1,2016-01-03 13:14:04.858
Application_1845547664,A_Submitted,User_1,2016-01-03 13:14:04.893
Application_1845547664,W_Handle leads,User_1,2016-01-03 13:14:05.290
Application_1845547664,W_Handle leads,User_1,2016-01-03 13:15:40.487
Application_1845547664,W_Complete application,User_1,2016-01-03 13:15:40.495
Application_1845547664,A_Concept,User_1,2016-01-03 13:15:40.501
Application_798605556,A_Create Application,User_1,2016-01-03 15:01:52.706
Application_798605556,A_Submitted,User_1,2016-01-03 15:01:52.767
Application_798605556,W_Handle leads,User_1,2016-01-03 15:01:53.091
Application_798605556,W_Handle leads,User_1,2016-01-03 15:03:38.913
Application_798605556,W_Complete application,User_1,2016-01-03 15:03:38.933
Application_798605556,A_Concept,User_1,2016-01-03 15:03:38.939
Application_2062932311,A_Create Application,User_1,2016-01-03 15:35:53.926
Application_2062932311,A_Submitted,User_1,2016-01-03 15:35:53.965
Application_2062932311,W_Handle leads,User_1,2016-01-03 15:35:54.519
Application_2062932311,W_Handle leads,User_1,2016-01-03 15:37:27.483
Application_2062932311,W_Complete application,User_1,2016-01-03 15:37:27.491
Application_2062932311,A_Concept,User_1,2016-01-03 15:37:27.497
Application_909491524,A_Create Application,User_1,2016-01-03 18:13:55.454
Application_909491524,A_Submitted,User_1,2016-01-03 18:13:55.501
Application_909491524,W_Handle leads,User_1,2016-01-03 18:13:55.816
Application_909491524,W_Handle leads,User_1,2016-01-03 18:14:31.981
Application_909491524,W_Complete application,User_1,2016-01-03 18:14:31.989
Application_909491524,A_Concept,User_1,2016-01-03 18:14:31.995
Application_354702724,A_Create Application,User_1,2016-01-03 20:16:08.587
Application_354702724,A_Submitted,User_1,2016-01-03 20:16:08.637
Application_354702724,W_Handle leads,User_1,2016-01-03 20:16:08.802
Application_354702724,W_Handle leads,User_1,2016-01-03 20:17:34.983
Application_354702724,W_Complete application,User_1,2016-01-03 20:17:34.991
Application_354702724,A_Concept,User_1,2016-01-03 20:17:34.997
Application_584603670,A_Create Application,User_1,2016-01-03 20:22:56.382
Application_584603670,A_Submitted,User_1,2016-01-03 20:22:56.419
Application_584603670,W_Handle leads,User_1,2016-01-03 20:22:56.844
Application_1876456626,A_Create Application,User_1,2016-01-03 20:38:39.293
Application_1876456626,A_Submitted,User_1,2016-01-03 20:38:39.329
Application_1876456626,W_Handle leads,User_1,2016-01-03 20:38:39.683
Application_813133375,A_Create Application,User_1,2016-01-03 21:11:13.898
Application_813133375,A_Submitted,User_1,2016-01-03 21:11:13.929
Application_813133375,W_Handle leads,User_1,2016-01-03 21:11:14.279
Application_813133375,W_Handle leads,User_1,2016-01-03 21:12:41.782
Application_813133375,W_Complete application,User_1,2016-01-03 21:12:41.789
Application_813133375,A_Concept,User_1,2016-01-03 21:12:41.794
Application_268676496,A_Create Application,User_1,2016-01-03 21:32:05.061
Application_268676496,A_Submitted,User_1,2016-01-03 21:32:05.097
Application_268676496,W_Handle leads,User_1,2016-01-03 21:32:05.575
Application_268676496,W_Handle leads,User_1,2016-01-03 21:33:36.259
Application_268676496,W_Complete application,User_1,2016-01-03 21:33:36.268
Application_268676496,A_Concept,User_1,2016-01-03 21:33:36.274
Application_2002564265,A_Create Application,User_1,2016-01-03 23:03:36.391
Application_2002564265,A_Submitted,User_1,2016-01-03 23:03:36.425
Application_2002564265,W_Handle leads,User_1,2016-01-03 23:03:36.590
Application_2002564265,W_Handle leads,User_1,2016-01-03 23:04:43.485
Application_2002564265,W_Complete application,User_1,2016-01-03 23:04:43.494
Application_2002564265,A_Concept,User_1,2016-01-03 23:04:43.500
Application_58755651,A_Create Application,User_1,2016-01-04 04:22:04.024
Application_58755651,A_Submitted,User_1,2016-01-04 04:22:04.117
Application_58755651,W_Handle leads,User_1,2016-01-04 04:22:04.456
Application_58755651,W_Handle leads,User_1,2016-01-04 04:22:40.012
Application_58755651,W_Complete application,User_1,2016-01-04 04:22:40.020
Application_58755651,A_Concept,User_1,2016-01-04 04:22:40.027
Application_1535675187,W_Handle leads,User_14,2016-01-04 08:18:32.085
Application_1535675187,W_Complete application,User_14,2016-01-04 08:19:26.287
Application_1535675187,W_Complete application,User_16,2016-01-04 08:19:26.289
Application_1535675187,A_Concept,User_14,2016-01-04 08:19:26.294
Application_1535675187,W_Complete application,User_14,2016-01-04 08:19:29.576
Application_987262285,W_Handle leads,User_14,2016-01-04 08:24:31.489
Application_987262285,W_Complete application,User_14,2016-01-04 08:26:34.501
Application_987262285,W_Complete application,User_14,2016-01-04 08:26:34.504
Application_987262285,A_Concept,User_14,2016-01-04 08:26:34.508
Application_987262285,W_Complete application,User_14,2016-01-04 08:26:36.560
Application_584603670,W_Handle leads,User_14,2016-01-04 08:45:04.842
Application_584603670,W_Complete application,User_14,2016-01-04 08:46:59.269
Application_584603670,W_Complete application,User_14,2016-01-04 08:46:59.271
Application_584603670,A_Concept,User_14,2016-01-04 08:46:59.274
Application_584603670,W_Complete application,User_14,2016-01-04 08:47:01.787
Application_1876456626,W_Handle leads,User_14,2016-01-04 08:48:38.215
Application_1876456626,W_Complete application,User_14,2016-01-04 08:49:34.150
Application_1876456626,W_Complete application,User_14,2016-01-04 08:49:34.152
