Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,outcome
Application_798605556,W_Complete application,User_38,2016-01-04 14:05:56.798,2016-01-04 16:16:37.121,
Application_1981969728,A_Create Application,User_1,2016-01-04 14:30:37.154,2016-01-04 14:30:37.154,
Application_1981969728,A_Submitted,User_1,2016-01-04 14:30:37.238,2016-01-04 14:30:37.238,
Application_1981969728,W_Handle leads,User_1,2016-01-04 14:32:27.523,2016-01-04 14:32:40.616,
Application_1981969728,A_Concept,User_1,2016-01-04 14:32:40.633,2016-01-04 14:32:40.633,
Application_178025821,W_Complete application,User_19,2016-01-04 15:00:22.185,2016-01-04 17:53:30.263,
Application_862160604,A_Create Application,User_7,2016-01-04 15:00:37.372,2016-01-04 15:00:37.372,
Application_862160604,W_Complete application,User_89,2016-01-04 15:00:37.393,2016-01-04 16:00:21.395,
Application_862160604,A_Concept,User_7,2016-01-04 15:00:37.399,2016-01-04 15:00:37.399,
Application_178025821,A_Accepted,User_19,2016-01-04 15:10:59.705,2016-01-04 15:10:59.705,
Application_798605556,A_Accepted,User_38,2016-01-04 15:32:02.008,2016-01-04 15:32:02.008,
Application_1301925609,A_Create Application,User_10,2016-01-04 15:41:48.473,2016-01-04 15:41:48.473,
Application_1301925609,A_Concept,User_10,2016-01-04 15:41:48.476,2016-01-04 15:41:48.476,
Application_1301925609,W_Complete application,User_7,2016-01-04 15:41:48.492,2016-01-05 14:40:35.839,
Application_862160604,A_Accepted,User_89,2016-01-04 15:57:56.641,2016-01-04 15:57:56.641,
Application_862160604,O_Create Offer,User_89,2016-01-04 15:59:57.297,2016-01-04 15:59:57.297,
Application_862160604,O_Created,User_89,2016-01-04 15:59:58.708,2016-01-04 15:59:58.708,
Application_862160604,O_Sent (mail and online),User_89,2016-01-04 16:00:21.367,2016-01-04 16:00:21.367,
Application_862160604,A_Complete,User_89,2016-01-04 16:00:21.431,2016-01-04 16:00:21.431,
Application_798605556,O_Create Offer,User_38,2016-01-04 16:16:14.031,2016-01-04 16:16:14.031,
Application_798605556,O_Created,User_38,2016-01-04 16:16:15.332,2016-01-04 16:16:15.332,
Application_798605556,O_Sent (mail and online),User_38,2016-01-04 16:16:37.103,2016-01-04 16:16:37.103,
Application_798605556,A_Complete,User_38,2016-01-04 16:16:37.133,2016-01-04 16:16:37.133,
Application_2105878744,A_Accepted,User_7,2016-01-04 16:40:54.654,2016-01-04 16:40:54.654,
Application_2105878744,O_Create Offer,User_7,2016-01-04 16:46:44.649,2016-01-04 16:46:44.649,
Application_2105878744,O_Created,User_7,2016-01-04 16:46:45.770,2016-01-04 16:46:45.770,
Application_2105878744,O_Sent (mail and online),User_7,2016-01-04 16:49:42.553,2016-01-04 16:49:42.553,
Application_2105878744,A_Complete,User_7,2016-01-04 16:49:42.599,2016-01-04 16:49:42.599,
Application_1290239114,W_Complete application,User_3,2016-01-04 16:58:41.767,2016-01-05 16:13:24.713,
Application_178025821,O_Create Offer,User_19,2016-01-04 17:49:01.566,2016-01-04 17:49:01.566,
Application_178025821,O_Created,User_19,2016-01-04 17:49:02.908,2016-01-04 17:49:02.908,
Application_178025821,O_Sent (mail and online),User_19,2016-01-04 17:53:30.246,2016-01-04 17:53:30.246,
Application_178025821,A_Complete,User_19,2016-01-04 17:53:30.275,2016-01-04 17:53:30.275,
Application_369105792,A_Create Application,User_1,2016-01-04 17:53:54.402,2016-01-04 17:53:54.402,
Application_369105792,A_Submitted,User_1,2016-01-04 17:53:54.448,2016-01-04 17:53:54.448,
Application_369105792,A_Concept,User_1,2016-01-04 17:55:03.816,2016-01-04 17:55:03.816,
Application_547462088,A_Create Application,User_1,2016-01-04 18:22:28.970,2016-01-04 18:22:28.970,
Application_547462088,A_Submitted,User_1,2016-01-04 18:22:29.016,2016-01-04 18:22:29.016,
Application_547462088,W_Handle leads,User_31,2016-01-04 18:34:00.281,2016-01-04 19:55:47.009,
Application_1405679737,O_Create Offer,User_11,2016-01-04 18:54:03.312,2016-01-04 18:54:03.312,
Application_1405679737,O_Created,User_11,2016-01-04 18:54:04.530,2016-01-04 18:54:04.530,
Application_1405679737,O_Sent (mail and online),User_11,2016-01-04 18:54:14.628,2016-01-04 18:54:14.628,
Application_1405679737,A_Complete,User_11,2016-01-04 18:54:14.664,2016-01-04 18:54:14.664,
Application_1791187926,A_Create Application,User_1,2016-01-04 18:58:09.645,2016-01-04 18:58:09.645,
Application_1791187926,A_Submitted,User_1,2016-01-04 18:58:09.680,2016-01-04 18:58:09.680,
Application_1791187926,A_Concept,User_1,2016-01-04 18:59:33.775,2016-01-04 18:59:33.775,
Application_470922426,O_Create Offer,User_11,2016-01-04 19:09:50.976,2016-01-04 19:09:50.976,
Application_470922426,O_Created,User_11,2016-01-04 19:09:52.306,2016-01-04 19:09:52.306,
Application_470922426,O_Sent (mail and online),User_11,2016-01-04 19:10:30.109,2016-01-04 19:10:30.109,
Application_470922426,A_Complete,User_11,2016-01-04 19:10:30.160,2016-01-04 19:10:30.160,
Application_2062932311,A_Accepted,User_10,2016-01-04 19:51:10.107,2016-01-04 19:51:10.107,
Application_2062932311,O_Create Offer,User_10,2016-01-04 19:53:14.134,2016-01-04 19:53:14.134,
Application_2062932311,O_Created,User_10,2016-01-04 19:53:15.543,2016-01-04 19:53:15.543,
Application_2062932311,O_Sent (mail and online),User_10,2016-01-04 19:55:41.687,2016-01-04 19:55:41.687,
Application_2062932311,A_Complete,User_10,2016-01-04 19:55:41.725,2016-01-04 19:55:41.725,
Application_547462088,W_Complete application,User_71,2016-01-04 19:55:47.019,2016-01-05 17:09:38.977,
Application_547462088,A_Concept,User_31,2016-01-04 19:55:47.023,2016-01-04 19:55:47.023,
Application_1898882436,A_Accepted,User_10,2016-01-04 20:37:24.410,2016-01-04 20:37:24.410,
Application_1898882436,O_Create Offer,User_10,2016-01-04 20:40:54.267,2016-01-04 20:40:54.267,
Application_1898882436,O_Created,User_10,2016-01-04 20:40:55.665,2016-01-04 20:40:55.665,
Application_1898882436,O_Sent (mail and online),User_10,2016-01-04 20:42:27.390,2016-01-04 20:42:27.390,
Application_1898882436,A_Complete,User_10,2016-01-04 20:42:27.420,2016-01-04 20:42:27.420,
Application_572814439,A_Create Application,User_1,2016-01-04 21:01:26.109,2016-01-04 21:01:26.109,
Application_572814439,A_Submitted,User_1,2016-01-04 21:01:26.149,2016-01-04 21:01:26.149,
Application_572814439,A_Concept,User_1,2016-01-04 21:02:42.944,2016-01-04 21:02:42.944,
Application_19324985,A_Create Application,User_1,2016-01-04 21:36:17.556,2016-01-04 21:36:17.556,
Application_19324985,A_Submitted,User_1,2016-01-04 21:36:17.589,2016-01-04 21:36:17.589,
Application_923963777,A_Create Application,User_1,2016-01-04 22:01:26.010,2016-01-04 22:01:26.010,
Application_923963777,A_Submitted,User_1,2016-01-04 22:01:26.089,2016-01-04 22:01:26.089,
Application_923963777,A_Concept,User_1,2016-01-04 22:02:28.462,2016-01-04 22:02:28.462,
Application_1746133767,A_Create Application,User_1,2016-01-04 22:22:59.108,2016-01-04 22:22:59.108,
Application_1746133767,A_Submitted,User_1,2016-01-04 22:22:59.140,2016-01-04 22:22:59.140,
Application_1746133767,A_Concept,User_1,2016-01-04 22:24:32.515,2016-01-04 22:24:32.515,
Application_920497952,A_Create Application,User_1,2016-01-04 22:37:11.994,2016-01-04 22:37:11.994,
Application_920497952,A_Submitted,User_1,2016-01-04 22:37:12.041,2016-01-04 22:37:12.041,
Application_920497952,A_Concept,User_1,2016-01-04 22:38:25.783,2016-01-04 22:38:25.783,
Application_19324985,W_Handle leads,User_5,2016-01-05 07:51:12.001,2016-01-05 07:52:11.133,
Application_19324985,A_Concept,User_5,2016-01-05 07:52:11.145,2016-01-05 07:52:11.145,
Application_854409161,A_Create Application,User_85,2016-01-05 09:48:04.667,2016-01-05 09:48:04.667,
Application_854409161,W_Complete application,User_85,2016-01-05 09:48:04.732,2016-01-05 09:55:24.155,
Application_854409161,A_Concept,User_85,2016-01-05 09:48:04.737,2016-01-05 09:48:04.737,
Application_854409161,A_Accepted,User_85,2016-01-05 09:51:19.717,2016-01-05 09:51:19.717,
Application_854409161,O_Create Offer,User_85,2016-01-05 09:54:20.525,2016-01-05 09:54:20.525,
Application_854409161,O_Created,User_85,2016-01-05 09:54:21.868,2016-01-05 09:54:21.868,
Application_854409161,O_Sent (mail and online),User_85,2016-01-05 09:55:24.140,2016-01-05 09:55:24.140,
Application_854409161,A_Complete,User_85,2016-01-05 09:55:24.165,2016-01-05 09:55:24.165,
Application_803879893,O_Create Offer,User_3,2016-01-05 10:23:05.165,2016-01-05 10:23:05.165,
Application_803879893,O_Created,User_3,2016-01-05 10:23:06.471,2016-01-05 10:23:06.471,
Application_803879893,O_Sent (mail and online),User_3,2016-01-05 10:23:19.213,2016-01-05 10:23:19.213,
Application_803879893,A_Complete,User_3,2016-01-05 10:23:19.241,2016-01-05 10:23:19.241,
Application_1068218912,W_Complete application,User_7,2016-01-05 10:30:59.781,2016-01-05 11:24:17.213,
Application_1068218912,A_Accepted,User_7,2016-01-05 11:16:57.379,2016-01-05 11:16:57.379,
Application_106973225,A_Accepted,User_3,2016-01-05 11:21:31.834,2016-01-05 11:21:31.834,
Application_1068218912,O_Create Offer,User_7,2016-01-05 11:22:07.782,2016-01-05 11:22:07.782,
Application_1068218912,O_Created,User_7,2016-01-05 11:22:09.111,2016-01-05 11:22:09.111,
Application_106973225,O_Create Offer,User_3,2016-01-05 11:24:06.249,2016-01-05 11:24:06.249,
Application_106973225,O_Created,User_3,2016-01-05 11:24:07.461,2016-01-05 11:24:07.461,
Application_1068218912,O_Sent (mail and online),User_7,2016-01-05 11:24:17.174,2016-01-05 11:24:17.174,
Application_1068218912,A_Complete,User_7,2016-01-05 11:24:17.252,2016-01-05 11:24:17.252,
Application_106973225,O_Sent (mail and online),User_3,2016-01-05 11:24:19.844,2016-01-05 11:24:19.844,
Application_106973225,A_Complete,User_3,2016-01-05 11:24:19.897,2016-01-05 11:24:19.897,
Application_1101248362,A_Create Application,User_1,2016-01-05 12:11:11.458,2016-01-05 12:11:11.458,
Application_1101248362,A_Submitted,User_1,2016-01-05 12:11:11.505,2016-01-05 12:11:11.505,
Application_1101248362,A_Concept,User_1,2016-01-05 12:13:08.449,2016-01-05 12:13:08.449,
Application_1791187926,W_Complete application,User_37,2016-01-05 12:46:06.471,2016-01-05 16:11:52.985,
Application_1494501575,A_Create Application,User_1,2016-01-05 12:51:39.155,2016-01-05 12:51:39.155,
Application_1494501575,A_Submitted,User_1,2016-01-05 12:51:39.201,2016-01-05 12:51:39.201,
Application_1494501575,A_Concept,User_1,2016-01-05 12:53:16.788,2016-01-05 12:53:16.788,
Application_1301925609,A_Accepted,User_7,2016-01-05 14:23:46.691,2016-01-05 14:23:46.691,
Application_409724822,A_Create Application,User_1,2016-01-05 14:28:06.969,2016-01-05 14:28:06.969,
Application_409724822,A_Submitted,User_1,2016-01-05 14:28:07.003,2016-01-05 14:28:07.003,
Application_409724822,A_Concept,User_1,2016-01-05 14:30:37.129,2016-01-05 14:30:37.129,
Application_788960916,A_Create Application,User_1,2016-01-05 14:33:51.045,2016-01-05 14:33:51.045,
Application_788960916,A_Submitted,User_1,2016-01-05 14:33:51.080,2016-01-05 14:33:51.080,
Application_788960916,A_Concept,User_1,2016-01-05 14:35:17.931,2016-01-05 14:35:17.931,
Application_1301925609,O_Create Offer,User_7,2016-01-05 14:36:20.679,2016-01-05 14:36:20.679,
Application_1301925609,O_Created,User_7,2016-01-05 14:36:21.967,2016-01-05 14:36:21.967,
Application_1301925609,O_Sent (mail and online),User_7,2016-01-05 14:40:35.824,2016-01-05 14:40:35.824,
Application_1301925609,A_Complete,User_7,2016-01-05 14:40:35.851,2016-01-05 14:40:35.851,
Application_369105792,W_Complete application,User_3,2016-01-05 15:33:35.017,2016-01-05 15:42:25.551,
Application_369105792,A_Accepted,User_3,2016-01-05 15:40:48.216,2016-01-05 15:40:48.216,
Application_369105792,O_Create Offer,User_3,2016-01-05 15:42:10.191,2016-01-05 15:42:10.191,
Application_369105792,O_Created,User_3,2016-01-05 15:42:11.964,2016-01-05 15:42:11.964,
Application_369105792,O_Sent (mail and online),User_3,2016-01-05 15:42:25.536,2016-01-05 15:42:25.536,
Application_369105792,A_Complete,User_3,2016-01-05 15:42:25.561,2016-01-05 15:42:25.561,
Application_1791187926,A_Accepted,User_37,2016-01-05 15:59:49.654,2016-01-05 15:59:49.654,
Application_1791187926,O_Create Offer,User_37,2016-01-05 16:09:21.693,2016-01-05 16:09:21.693,
Application_1791187926,O_Created,User_37,2016-01-05 16:09:23.073,2016-01-05 16:09:23.073,
Application_1791187926,O_Create Offer,User_37,2016-01-05 16:09:43.916,2016-01-05 16:09:43.916,
Application_1791187926,O_Created,User_37,2016-01-05 16:09:45.163,2016-01-05 16:09:45.163,
Application_1791187926,O_Sent (mail and online),User_37,2016-01-05 16:11:52.971,2016-01-05 16:11:52.971,
Application_1791187926,A_Complete,User_37,2016-01-05 16:11:52.996,2016-01-05 16:11:52.996,
Application_1290239114,A_Accepted,User_3,2016-01-05 16:12:04.230,2016-01-05 16:12:04.230,
Application_1290239114,O_Create Offer,User_3,2016-01-05 16:13:07.826,2016-01-05 16:13:07.826,
Application_1290239114,O_Created,User_3,2016-01-05 16:13:09.056,2016-01-05 16:13:09.056,
Application_1290239114,O_Sent (mail and online),User_3,2016-01-05 16:13:24.698,2016-01-05 16:13:24.698,
Application_1290239114,A_Complete,User_3,2016-01-05 16:13:24.723,2016-01-05 16:13:24.723,
Application_547462088,A_Accepted,User_71,2016-01-05 17:02:36.373,2016-01-05 17:02:36.373,
Application_1930449097,A_Create Application,User_14,2016-01-05 17:03:54.068,2016-01-05 17:03:54.068,
Application_1930449097,W_Complete application,User_14,2016-01-05 17:03:54.135,2016-01-05 17:16:30.340,
Application_1930449097,A_Concept,User_14,2016-01-05 17:03:54.147,2016-01-05 17:03:54.147,
Application_547462088,O_Create Offer,User_71,2016-01-05 17:06:03.469,2016-01-05 17:06:03.469,
Application_547462088,O_Created,User_71,2016-01-05 17:06:04.703,2016-01-05 17:06:04.703,
Application_547462088,O_Sent (mail and online),User_71,2016-01-05 17:09:38.961,2016-01-05 17:09:38.961,
Application_547462088,A_Complete,User_71,2016-01-05 17:09:38.988,2016-01-05 17:09:38.988,
Application_1930449097,A_Accepted,User_14,2016-01-05 17:09:53.527,2016-01-05 17:09:53.527,
Application_1854554571,A_Create Application,User_1,2016-01-05 17:10:42.688,2016-01-05 17:10:42.688,
Application_1854554571,A_Submitted,User_1,2016-01-05 17:10:42.721,2016-01-05 17:10:42.721,
Application_13372270,A_Create Application,User_1,2016-01-05 17:12:44.241,2016-01-05 17:12:44.241,
Application_13372270,A_Submitted,User_1,2016-01-05 17:12:44.277,2016-01-05 17:12:44.277,
Application_13372270,A_Concept,User_1,2016-01-05 17:14:04.269,2016-01-05 17:14:04.269,
Application_1930449097,O_Create Offer,User_14,2016-01-05 17:16:13.301,2016-01-05 17:16:13.301,
Application_1930449097,O_Created,User_14,2016-01-05 17:16:14.598,2016-01-05 17:16:14.598,
Application_1930449097,O_Sent (mail and online),User_14,2016-01-05 17:16:30.322,2016-01-05 17:16:30.322,
Application_1930449097,A_Complete,User_14,2016-01-05 17:16:30.354,2016-01-05 17:16:30.354,
Application_675506291,A_Create Application,User_1,2016-01-05 17:21:19.432,2016-01-05 17:21:19.432,
Application_675506291,A_Submitted,User_1,2016-01-05 17:21:19.464,2016-01-05 17:21:19.464,
Application_1128910355,O_Create Offer,User_4,2016-01-05 18:24:21.158,2016-01-05 18:24:21.158,
Application_1128910355,O_Created,User_4,2016-01-05 18:24:22.422,2016-01-05 18:24:22.422,
Application_1128910355,O_Sent (mail and online),User_4,2016-01-05 18:24:34.803,2016-01-05 18:24:34.803,
Application_989064530,A_Create Application,User_1,2016-01-05 19:45:13.266,2016-01-05 19:45:13.266,
Application_989064530,A_Submitted,User_1,2016-01-05 19:45:13.341,2016-01-05 19:45:13.341,
Application_989064530,A_Concept,User_1,2016-01-05 19:46:48.684,2016-01-05 19:46:48.684,
Application_923963777,A_Accepted,User_74,2016-01-05 19:48:23.749,2016-01-05 19:48:23.749,
Application_923963777,O_Create Offer,User_74,2016-01-05 19:49:12.643,2016-01-05 19:49:12.643,
Application_923963777,O_Created,User_74,2016-01-05 19:49:13.961,2016-01-05 19:49:13.961,
Application_923963777,O_Sent (mail and online),User_74,2016-01-05 19:49:59.700,2016-01-05 19:49:59.700,
Application_923963777,A_Complete,User_74,2016-01-05 19:49:59.724,2016-01-05 19:49:59.724,
Application_1854554571,W_Handle leads,User_14,2016-01-05 20:15:38.257,2016-01-06 08:19:58.942,
Application_572814439,A_Accepted,User_10,2016-01-05 20:44:06.429,2016-01-05 20:44:06.429,
Application_572814439,O_Create Offer,User_10,2016-01-05 20:46:32.264,2016-01-05 20:46:32.264,
Application_572814439,O_Created,User_10,2016-01-05 20:46:33.444,2016-01-05 20:46:33.444,
Application_572814439,O_Sent (mail and online),User_10,2016-01-05 20:46:53.480,2016-01-05 20:46:53.480,
Application_572814439,A_Complete,User_10,2016-01-05 20:46:53.507,2016-01-05 20:46:53.507,
Application_1247929652,A_Create Application,User_14,2016-01-05 20:50:59.699,2016-01-05 20:50:59.699,
Application_1247929652,A_Concept,User_14,2016-01-05 20:50:59.713,2016-01-05 20:50:59.713,
Application_1880024094,A_Create Application,User_4,2016-01-05 20:53:46.732,2016-01-05 20:53:46.732,
Application_1880024094,A_Concept,User_4,2016-01-05 20:53:46.736,2016-01-05 20:53:46.736,
Application_1880024094,W_Complete application,User_49,2016-01-05 20:53:46.748,2016-01-07 12:32:47.136,
Application_1247929652,A_Accepted,User_92,2016-01-05 20:56:26.307,2016-01-05 20:56:26.307,
Application_1247929652,O_Create Offer,User_92,2016-01-05 21:00:35.403,2016-01-05 21:00:35.403,
Application_1247929652,O_Created,User_92,2016-01-05 21:00:36.868,2016-01-05 21:00:36.868,
Application_1247929652,O_Sent (mail and online),User_92,2016-01-05 21:01:54.190,2016-01-05 21:01:54.190,
Application_1247929652,A_Complete,User_92,2016-01-05 21:01:54.217,2016-01-05 21:01:54.217,
Application_1562741414,A_Create Application,User_1,2016-01-05 21:14:38.405,2016-01-05 21:14:38.405,
Application_1562741414,A_Submitted,User_1,2016-01-05 21:14:38.480,2016-01-05 21:14:38.480,
Application_1562741414,A_Concept,User_1,2016-01-05 21:15:26.738,2016-01-05 21:15:26.738,
Application_1559270931,A_Create Application,User_1,2016-01-05 22:45:59.914,2016-01-05 22:45:59.914,
Application_1559270931,A_Submitted,User_1,2016-01-05 22:45:59.961,2016-01-05 22:45:59.961,
Application_1559270931,A_Concept,User_1,2016-01-05 22:47:14.841,2016-01-05 22:47:14.841,
Application_493812399,A_Create Application,User_1,2016-01-06 06:17:14.172,2016-01-06 06:17:14.172,
Application_493812399,A_Submitted,User_1,2016-01-06 06:17:14.229,2016-01-06 06:17:14.229,
Application_493812399,A_Concept,User_1,2016-01-06 06:18:37.081,2016-01-06 06:18:37.081,
Application_1854554571,A_Concept,User_14,2016-01-06 08:19:58.957,2016-01-06 08:19:58.957,
Application_675506291,W_Handle leads,User_14,2016-01-06 08:22:08.436,2016-01-06 08:23:04.478,
Application_675506291,A_Concept,User_14,2016-01-06 08:23:04.493,2016-01-06 08:23:04.493,
Application_369105792,A_Cancelled,User_110,2016-01-06 09:50:04.825,2016-01-06 09:50:04.825,
Application_369105792,O_Cancelled,User_110,2016-01-06 09:50:04.865,2016-01-06 09:50:04.865,False
Application_1494501575,W_Complete application,User_49,2016-01-06 10:20:15.094,2016-01-06 10:41:36.596,
Application_920497952,A_Accepted,User_4,2016-01-06 10:23:01.266,2016-01-06 10:23:01.266,
Application_920497952,O_Create Offer,User_4,2016-01-06 10:25:54.423,2016-01-06 10:25:54.423,
Application_920497952,O_Created,User_4,2016-01-06 10:25:55.639,2016-01-06 10:25:55.639,
Application_920497952,O_Create Offer,User_4,2016-01-06 10:26:18.730,2016-01-06 10:26:18.730,
