caseid,activity,resource,ts
Application_1806387393,A_Submitted,User_1,2016-01-01 18:58:26.216
Application_1806387393,W_Handle leads,User_1,2016-01-01 18:58:26.524
Application_1111870538,A_Create Application,User_1,2016-01-01 20:13:17.386
Application_1111870538,A_Submitted,User_1,2016-01-01 20:13:17.442
Application_1111870538,W_Handle leads,User_1,2016-01-01 20:13:17.750
Application_1111870538,W_Handle leads,User_1,2016-01-01 20:13:53.205
Application_1111870538,W_Complete application,User_1,2016-01-01 20:13:53.215
Application_1111870538,A_Concept,User_1,2016-01-01 20:13:53.224
Application_1846626914,A_Create Application,User_1,2016-01-02 09:57:01.662
Application_1846626914,A_Submitted,User_1,2016-01-02 09:57:01.734
Application_1846626914,W_Handle leads,User_1,2016-01-02 09:57:02.164
Application_546206358,A_Create Application,User_1,2016-01-02 09:57:03.601
Application_546206358,A_Submitted,User_1,2016-01-02 09:57:03.637
Application_546206358,W_Handle leads,User_1,2016-01-02 09:57:03.828
Application_1846626914,W_Handle leads,User_1,2016-01-02 09:58:40.757
Application_1846626914,W_Complete application,User_1,2016-01-02 09:58:40.799
Application_1846626914,A_Concept,User_1,2016-01-02 09:58:40.809
Application_546206358,W_Handle leads,User_1,2016-01-02 09:59:10.784
Application_546206358,W_Complete application,User_1,2016-01-02 09:59:10.793
Application_546206358,A_Concept,User_1,2016-01-02 09:59:10.800
Application_1363980603,A_Create Application,User_1,2016-01-02 10:24:04.072
Application_1363980603,A_Submitted,User_1,2016-01-02 10:24:04.134
Application_1363980603,W_Handle leads,User_1,2016-01-02 10:24:04.771
Application_1363980603,W_Handle leads,User_1,2016-01-02 10:24:52.057
Application_1363980603,W_Complete application,User_1,2016-01-02 10:24:52.071
Application_1363980603,A_Concept,User_1,2016-01-02 10:24:52.081
Application_1806387393,W_Handle leads,User_17,2016-01-02 10:38:15.267
Application_1806387393,W_Complete application,User_17,2016-01-02 10:39:26.336
Application_1806387393,W_Complete application,User_38,2016-01-02 10:39:26.338
Application_1806387393,A_Concept,User_17,2016-01-02 10:39:26.342
Application_1806387393,W_Complete application,User_17,2016-01-02 10:39:29.719
Application_1120819670,A_Accepted,User_17,2016-01-02 10:52:01.847
Application_1120819670,O_Create Offer,User_17,2016-01-02 10:55:46.369
Application_1120819670,O_Created,User_17,2016-01-02 10:55:47.693
Application_1120819670,O_Sent (mail and online),User_17,2016-01-02 10:59:50.268
Application_1120819670,W_Complete application,User_17,2016-01-02 10:59:50.290
Application_1120819670,W_Call after offers,User_17,2016-01-02 10:59:50.299
Application_1120819670,W_Call after offers,User_17,2016-01-02 10:59:50.303
Application_1120819670,A_Complete,User_17,2016-01-02 10:59:50.307
Application_1120819670,W_Call after offers,User_17,2016-01-02 11:02:05.856
Application_1691306052,W_Complete application,User_38,2016-01-02 11:50:42.796
Application_1691306052,W_Complete application,User_17,2016-01-02 11:51:27.582
Application_1691306052,W_Complete application,User_38,2016-01-02 11:53:34.108
Application_1691306052,A_Accepted,User_38,2016-01-02 11:59:44.735
Application_1691306052,O_Create Offer,User_38,2016-01-02 12:02:38.994
Application_1691306052,O_Created,User_38,2016-01-02 12:02:40.442
Application_1691306052,O_Sent (mail and online),User_38,2016-01-02 12:03:05.300
Application_1691306052,W_Call after offers,User_38,2016-01-02 12:03:05.337
Application_1691306052,W_Call after offers,User_38,2016-01-02 12:03:05.343
Application_1691306052,A_Complete,User_38,2016-01-02 12:03:05.346
Application_1691306052,W_Call after offers,User_38,2016-01-02 12:09:15.653
Application_1059184025,A_Create Application,User_38,2016-01-02 12:10:04.322
Application_1059184025,W_Complete application,User_38,2016-01-02 12:10:04.331
Application_1059184025,W_Complete application,User_38,2016-01-02 12:10:04.334
Application_1059184025,A_Concept,User_38,2016-01-02 12:10:04.337
Application_1059184025,W_Complete application,User_38,2016-01-02 12:10:46.851
Application_1059184025,A_Accepted,User_38,2016-01-02 12:39:39.610
Application_1266995739,W_Complete application,User_19,2016-01-02 12:46:28.903
Application_1266995739,W_Complete application,User_19,2016-01-02 12:46:43.959
Application_1059184025,O_Create Offer,User_38,2016-01-02 12:48:58.028
Application_1059184025,O_Created,User_38,2016-01-02 12:48:59.193
Application_1699757505,A_Create Application,User_1,2016-01-02 13:04:29.676
Application_1699757505,A_Submitted,User_1,2016-01-02 13:04:29.713
Application_1699757505,W_Handle leads,User_1,2016-01-02 13:04:30.272
Application_1699757505,W_Handle leads,User_1,2016-01-02 13:05:29.384
Application_1699757505,W_Complete application,User_1,2016-01-02 13:05:29.392
Application_1699757505,A_Concept,User_1,2016-01-02 13:05:29.397
Application_493034835,A_Create Application,User_3,2016-01-02 13:24:39.241
Application_493034835,A_Concept,User_3,2016-01-02 13:24:39.245
Application_493034835,W_Complete application,User_3,2016-01-02 13:24:39.250
Application_493034835,W_Complete application,User_3,2016-01-02 13:24:39.253
Application_493034835,A_Accepted,User_3,2016-01-02 13:29:45.915
Application_493034835,O_Create Offer,User_3,2016-01-02 13:31:00.150
Application_493034835,O_Created,User_3,2016-01-02 13:31:01.388
Application_493034835,O_Sent (mail and online),User_3,2016-01-02 13:31:11.640
Application_493034835,W_Call after offers,User_3,2016-01-02 13:31:11.662
Application_493034835,W_Call after offers,User_3,2016-01-02 13:31:11.665
Application_493034835,A_Complete,User_3,2016-01-02 13:31:11.667
Application_493034835,W_Call after offers,User_3,2016-01-02 13:32:38.936
Application_842511489,A_Create Application,User_3,2016-01-02 13:35:04.926
Application_842511489,A_Concept,User_3,2016-01-02 13:35:04.928
Application_842511489,W_Complete application,User_3,2016-01-02 13:35:04.935
Application_842511489,W_Complete application,User_3,2016-01-02 13:35:04.937
Application_842511489,A_Accepted,User_3,2016-01-02 13:36:27.206
Application_842511489,W_Complete application,User_3,2016-01-02 13:36:42.180
Application_1059184025,O_Cancelled,User_38,2016-01-02 13:42:59.321
Application_1059184025,O_Create Offer,User_38,2016-01-02 13:50:23.006
Application_1059184025,O_Created,User_38,2016-01-02 13:50:24.284
Application_1059184025,O_Sent (mail and online),User_38,2016-01-02 13:50:37.195
Application_1059184025,W_Complete application,User_38,2016-01-02 13:50:37.210
Application_1059184025,W_Call after offers,User_38,2016-01-02 13:50:37.217
Application_1059184025,W_Call after offers,User_38,2016-01-02 13:50:37.220
Application_1059184025,A_Complete,User_38,2016-01-02 13:50:37.222
Application_1059184025,W_Call after offers,User_38,2016-01-02 14:02:52.659
Application_821425679,A_Create Application,User_52,2016-01-02 14:18:32.154
Application_821425679,A_Concept,User_52,2016-01-02 14:18:32.158
Application_821425679,W_Complete application,User_52,2016-01-02 14:18:32.176
Application_821425679,W_Complete application,User_52,2016-01-02 14:18:32.181
Application_821425679,W_Complete application,User_52,2016-01-02 14:21:59.359
Application_1266995739,W_Complete application,User_19,2016-01-02 14:28:22.185
Application_1266995739,W_Complete application,User_19,2016-01-02 14:28:52.418
Application_1266995739,W_Complete application,User_3,2016-01-02 14:29:33.936
Application_1266995739,W_Complete application,User_3,2016-01-02 14:29:43.478
Application_1266995739,W_Complete application,User_38,2016-01-02 14:30:27.664
Application_1266995739,W_Complete application,User_38,2016-01-02 14:31:56.075
Application_1878239836,W_Complete application,User_3,2016-01-02 14:32:03.433
Application_1266995739,A_Accepted,User_3,2016-01-02 14:35:32.248
Application_1878239836,W_Complete application,User_38,2016-01-02 14:37:53.499
Application_1059184025,O_Create Offer,User_19,2016-01-02 14:38:07.682
Application_1059184025,O_Created,User_19,2016-01-02 14:38:09.021
Application_1266995739,O_Create Offer,User_3,2016-01-02 14:38:19.507
Application_1266995739,O_Created,User_3,2016-01-02 14:38:20.745
Application_1266995739,O_Sent (mail and online),User_3,2016-01-02 14:38:31.338
Application_1266995739,W_Complete application,User_3,2016-01-02 14:38:31.354
Application_1266995739,W_Call after offers,User_3,2016-01-02 14:38:31.363
Application_1266995739,W_Call after offers,User_3,2016-01-02 14:38:31.366
Application_1266995739,A_Complete,User_3,2016-01-02 14:38:31.368
Application_1266995739,W_Call after offers,User_3,2016-01-02 14:39:23.150
Application_1059184025,O_Sent (mail and online),User_19,2016-01-02 14:41:36.550
Application_1059184025,O_Cancelled,User_19,2016-01-02 14:41:43.962
Application_1878239836,W_Complete application,User_3,2016-01-02 14:50:50.143
Application_1878239836,A_Accepted,User_3,2016-01-02 14:59:27.406
Application_1878239836,O_Create Offer,User_3,2016-01-02 14:59:59.998
Application_1878239836,O_Created,User_3,2016-01-02 15:00:01.362
Application_1878239836,O_Sent (mail and online),User_3,2016-01-02 15:00:19.890
Application_1878239836,W_Call after offers,User_3,2016-01-02 15:00:20.000
Application_1878239836,W_Call after offers,User_3,2016-01-02 15:00:20.005
Application_1878239836,A_Complete,User_3,2016-01-02 15:00:20.011
Application_1878239836,W_Call after offers,User_3,2016-01-02 15:01:29.241
Application_1846626914,W_Complete application,User_38,2016-01-02 16:00:30.872
Application_1846626914,W_Complete application,User_17,2016-01-02 16:00:35.293
Application_1111870538,W_Complete application,User_43,2016-01-02 16:17:59.163
Application_180547487,W_Complete application,User_19,2016-01-02 16:21:33.928
Application_180547487,A_Accepted,User_19,2016-01-02 16:29:33.297
Application_180547487,O_Create Offer,User_19,2016-01-02 16:31:45.711
Application_180547487,O_Created,User_19,2016-01-02 16:31:47.001
Application_180547487,O_Sent (mail and online),User_19,2016-01-02 16:34:40.607
Application_180547487,W_Call after offers,User_19,2016-01-02 16:34:40.628
Application_180547487,W_Call after offers,User_19,2016-01-02 16:34:40.630
Application_180547487,A_Complete,User_19,2016-01-02 16:34:40.633
Application_180547487,W_Call after offers,User_19,2016-01-02 16:35:59.087
Application_2055987002,A_Create Application,User_17,2016-01-02 16:36:05.498
Application_2055987002,A_Concept,User_17,2016-01-02 16:36:05.507
Application_2055987002,W_Complete application,User_17,2016-01-02 16:36:05.569
Application_2055987002,W_Complete application,User_17,2016-01-02 16:36:05.572
Application_1111870538,W_Complete application,User_3,2016-01-02 16:36:49.405
Application_2055987002,A_Accepted,User_17,2016-01-02 16:38:50.645
Application_1111870538,W_Complete application,User_3,2016-01-02 16:39:09.644
Application_1111870538,W_Complete application,User_3,2016-01-02 16:39:55.015
Application_2055987002,O_Create Offer,User_17,2016-01-02 16:41:10.746
Application_2055987002,O_Created,User_17,2016-01-02 16:41:12.040
Application_2055987002,O_Sent (mail and online),User_17,2016-01-02 16:41:44.277
Application_2055987002,W_Call after offers,User_17,2016-01-02 16:41:44.319
Application_2055987002,W_Call after offers,User_17,2016-01-02 16:41:44.322
Application_2055987002,A_Complete,User_17,2016-01-02 16:41:44.325
Application_2055987002,W_Call after offers,User_17,2016-01-02 16:43:47.035
Application_1898882436,A_Create Application,User_1,2016-01-02 17:28:40.753
Application_1898882436,A_Submitted,User_1,2016-01-02 17:28:40.799
Application_1898882436,W_Handle leads,User_1,2016-01-02 17:28:41.137
Application_1898882436,W_Handle leads,User_1,2016-01-02 17:30:13.421
Application_1898882436,W_Complete application,User_1,2016-01-02 17:30:13.430
Application_1898882436,A_Concept,User_1,2016-01-02 17:30:13.438
Application_1603124379,A_Create Application,User_1,2016-01-02 17:57:47.627
Application_1603124379,A_Submitted,User_1,2016-01-02 17:57:47.661
Application_1603124379,W_Handle leads,User_1,2016-01-02 17:57:47.831
Application_1603124379,W_Handle leads,User_1,2016-01-02 17:58:31.226
Application_1603124379,W_Complete application,User_1,2016-01-02 17:58:31.233
Application_1603124379,A_Concept,User_1,2016-01-02 17:58:31.237
Application_1300843234,A_Create Application,User_1,2016-01-03 10:06:51.553
Application_1300843234,A_Submitted,User_1,2016-01-03 10:06:51.606
Application_1300843234,W_Handle leads,User_1,2016-01-03 10:06:51.787
Application_1300843234,W_Handle leads,User_1,2016-01-03 10:08:05.201
Application_1300843234,W_Complete application,User_1,2016-01-03 10:08:05.209
Application_1300843234,A_Concept,User_1,2016-01-03 10:08:05.215
Application_505474597,A_Create Application,User_1,2016-01-03 10:58:49.721
Application_505474597,A_Submitted,User_1,2016-01-03 10:58:49.758
Application_505474597,W_Handle leads,User_1,2016-01-03 10:58:50.122
Application_1765204099,A_Create Application,User_1,2016-01-03 10:58:59.556
Application_1765204099,A_Submitted,User_1,2016-01-03 10:58:59.587
Application_1765204099,W_Handle leads,User_1,2016-01-03 10:58:59.891
Application_505474597,W_Handle leads,User_1,2016-01-03 11:00:13.433
Application_505474597,W_Complete application,User_1,2016-01-03 11:00:13.508
Application_505474597,A_Concept,User_1,2016-01-03 11:00:13.514
Application_1765204099,W_Handle leads,User_1,2016-01-03 11:00:52.559
Application_1765204099,W_Complete application,User_1,2016-01-03 11:00:52.567
Application_1765204099,A_Concept,User_1,2016-01-03 11:00:52.572
Application_987262285,A_Create Application,User_1,2016-01-03 11:59:06.782
Application_987262285,A_Submitted,User_1,2016-01-03 11:59:06.832
Application_987262285,W_Handle leads,User_1,2016-01-03 11:59:07.021
Application_1845547664,A_Create Application,User_1,2016-01-03 13:14:04.858
Application_1845547664,A_Submitted,User_1,2016-01-03 13:14:04.893
Application_1845547664,W_Handle leads,User_1,2016-01-03 13:14:05.290
Application_1845547664,W_Handle leads,User_1,2016-01-03 13:15:40.487
Application_1845547664,W_Complete application,User_1,2016-01-03 13:15:40.495
Application_1845547664,A_Concept,User_1,2016-01-03 13:15:40.501
Application_798605556,A_Create Application,User_1,2016-01-03 15:01:52.706
Application_798605556,A_Submitted,User_1,2016-01-03 15:01:52.767
Application_798605556,W_Handle leads,User_1,2016-01-03 15:01:53.091
Application_798605556,W_Handle leads,User_1,2016-01-03 15:03:38.913
Application_798605556,W_Complete application,User_1,2016-01-03 15:03:38.933
Application_798605556,A_Concept,User_1,2016-01-03 15:03:38.939
Application_2062932311,A_Create Application,User_1,2016-01-03 15:35:53.926
Application_2062932311,A_Submitted,User_1,2016-01-03 15:35:53.965
Application_2062932311,W_Handle leads,User_1,2016-01-03 15:35:54.519
Application_2062932311,W_Handle leads,User_1,2016-01-03 15:37:27.483
Application_2062932311,W_Complete application,User_1,2016-01-03 15:37:27.491
Application_2062932311,A_Concept,User_1,2016-01-03 15:37:27.497
Application_584603670,A_Create Application,User_1,2016-01-03 20:22:56.382
Application_584603670,A_Submitted,User_1,2016-01-03 20:22:56.419
Application_584603670,W_Handle leads,User_1,2016-01-03 20:22:56.844
Application_813133375,A_Create Application,User_1,2016-01-03 21:11:13.898
Application_813133375,A_Submitted,User_1,2016-01-03 21:11:13.929
Application_813133375,W_Handle leads,User_1,2016-01-03 21:11:14.279
Application_813133375,W_Handle leads,User_1,2016-01-03 21:12:41.782
Application_813133375,W_Complete application,User_1,2016-01-03 21:12:41.789
Application_813133375,A_Concept,User_1,2016-01-03 21:12:41.794
Application_2002564265,A_Create Application,User_1,2016-01-03 23:03:36.391
Application_2002564265,A_Submitted,User_1,2016-01-03 23:03:36.425
Application_2002564265,W_Handle leads,User_1,2016-01-03 23:03:36.590
Application_2002564265,W_Handle leads,User_1,2016-01-03 23:04:43.485
Application_2002564265,W_Complete application,User_1,2016-01-03 23:04:43.494
Application_2002564265,A_Concept,User_1,2016-01-03 23:04:43.500
Application_58755651,A_Create Application,User_1,2016-01-04 04:22:04.024
Application_58755651,A_Submitted,User_1,2016-01-04 04:22:04.117
Application_58755651,W_Handle leads,User_1,2016-01-04 04:22:04.456
Application_58755651,W_Handle leads,User_1,2016-01-04 04:22:40.012
Application_58755651,W_Complete application,User_1,2016-01-04 04:22:40.020
Application_58755651,A_Concept,User_1,2016-01-04 04:22:40.027
Application_987262285,W_Handle leads,User_14,2016-01-04 08:24:31.489
Application_987262285,W_Complete application,User_14,2016-01-04 08:26:34.501
Application_987262285,W_Complete application,User_14,2016-01-04 08:26:34.504
Application_987262285,A_Concept,User_14,2016-01-04 08:26:34.508
Application_987262285,W_Complete application,User_14,2016-01-04 08:26:36.560
Application_584603670,W_Handle leads,User_14,2016-01-04 08:45:04.842
Application_584603670,W_Complete application,User_14,2016-01-04 08:46:59.269
Application_584603670,W_Complete application,User_14,2016-01-04 08:46:59.271
Application_584603670,A_Concept,User_14,2016-01-04 08:46:59.274
Application_584603670,W_Complete application,User_14,2016-01-04 08:47:01.787
Application_1846626914,W_Complete application,User_89,2016-01-04 09:02:33.198
Application_1846626914,W_Complete application,User_89,2016-01-04 09:02:52.340
Application_546206358,W_Complete application,User_89,2016-01-04 09:03:08.142
Application_1111870538,W_Complete application,User_43,2016-01-04 09:04:37.242
Application_546206358,A_Accepted,User_89,2016-01-04 09:09:27.676
Application_1111870538,A_Accepted,User_43,2016-01-04 09:13:22.352
Application_1111870538,O_Create Offer,User_43,2016-01-04 09:17:42.243
Application_1111870538,O_Created,User_43,2016-01-04 09:17:43.758
Application_546206358,O_Create Offer,User_89,2016-01-04 09:17:48.102
Application_546206358,O_Created,User_89,2016-01-04 09:17:49.471
Application_546206358,O_Sent (mail and online),User_89,2016-01-04 09:18:10.830
Application_546206358,W_Call after offers,User_89,2016-01-04 09:18:10.894
Application_546206358,W_Call after offers,User_89,2016-01-04 09:18:10.899
Application_546206358,A_Complete,User_89,2016-01-04 09:18:10.903
Application_546206358,W_Call after offers,User_89,2016-01-04 09:20:31.249
Application_1806387393,W_Complete application,User_38,2016-01-04 09:23:08.814
Application_1806387393,W_Complete application,User_38,2016-01-04 09:23:30.847
Application_1363980603,W_Complete application,User_16,2016-01-04 09:25:41.212
Application_1363980603,W_Complete application,User_16,2016-01-04 09:26:12.539
Application_1111870538,O_Sent (mail and online),User_43,2016-01-04 09:29:34.770
Application_1111870538,W_Call after offers,User_43,2016-01-04 09:29:34.808
Application_1111870538,W_Call after offers,User_43,2016-01-04 09:29:34.812
Application_1111870538,A_Complete,User_43,2016-01-04 09:29:34.814
Application_1111870538,W_Call after offers,User_43,2016-01-04 09:29:52.952
Application_1806387393,A_Accepted,User_38,2016-01-04 09:30:58.083
Application_1806387393,O_Create Offer,User_38,2016-01-04 09:34:17.654
Application_1806387393,O_Created,User_38,2016-01-04 09:34:19.000
Application_1806387393,O_Sent (mail and online),User_38,2016-01-04 09:34:37.514
Application_1806387393,W_Call after offers,User_38,2016-01-04 09:34:37.542
Application_1806387393,W_Call after offers,User_38,2016-01-04 09:34:37.545
Application_1806387393,A_Complete,User_38,2016-01-04 09:34:37.548
Application_1363980603,W_Complete application,User_89,2016-01-04 09:35:32.973
Application_167944225,A_Create Application,User_1,2016-01-04 09:37:33.791
Application_167944225,A_Submitted,User_1,2016-01-04 09:37:33.843
Application_167944225,W_Handle leads,User_1,2016-01-04 09:37:34.219
Application_1363980603,W_Complete application,User_89,2016-01-04 09:38:22.013
Application_1806387393,W_Call after offers,User_38,2016-01-04 09:38:29.858
Application_1300843234,W_Complete application,User_38,2016-01-04 09:38:40.585
Application_167944225,W_Handle leads,User_1,2016-01-04 09:38:42.495
Application_167944225,W_Complete application,User_1,2016-01-04 09:38:42.514
Application_167944225,A_Concept,User_1,2016-01-04 09:38:42.523
Application_1962860870,A_Create Application,User_7,2016-01-04 09:40:19.338
Application_1962860870,W_Complete application,User_7,2016-01-04 09:40:19.358
Application_1962860870,W_Complete application,User_7,2016-01-04 09:40:19.371
Application_1962860870,A_Concept,User_7,2016-01-04 09:40:19.375
Application_1696031128,A_Create Application,User_43,2016-01-04 09:40:23.096
Application_1696031128,A_Concept,User_43,2016-01-04 09:40:23.099
Application_1696031128,W_Complete application,User_43,2016-01-04 09:40:23.109
Application_1696031128,W_Complete application,User_43,2016-01-04 09:40:23.122
Application_1696031128,A_Accepted,User_43,2016-01-04 09:42:15.675
Application_1300843234,W_Complete application,User_38,2016-01-04 09:42:49.114
Application_505474597,W_Complete application,User_38,2016-01-04 09:43:06.320
Application_1962860870,A_Accepted,User_7,2016-01-04 09:44:12.498
Application_505474597,W_Complete application,User_38,2016-01-04 09:44:37.234
Application_1696031128,W_Complete application,User_43,2016-01-04 09:45:08.105
Application_1846626914,W_Complete application,User_38,2016-01-04 09:45:13.362
Application_1962860870,W_Complete application,User_7,2016-01-04 09:45:58.127
Application_1962860870,O_Create Offer,User_7,2016-01-04 09:49:22.376
Application_1962860870,O_Created,User_7,2016-01-04 09:49:23.646
Application_1363980603,A_Accepted,User_19,2016-01-04 09:51:17.497
Application_1363980603,O_Create Offer,User_19,2016-01-04 09:53:16.830
Application_1363980603,O_Created,User_19,2016-01-04 09:53:18.030
Application_1962860870,O_Create Offer,User_7,2016-01-04 09:53:33.302
Application_1962860870,O_Created,User_7,2016-01-04 09:53:34.622
Application_1962860870,O_Sent (mail and online),User_7,2016-01-04 09:53:48.047
Application_1962860870,W_Complete application,User_7,2016-01-04 09:53:48.063
Application_1962860870,W_Call after offers,User_7,2016-01-04 09:53:48.070
Application_1962860870,W_Call after offers,User_7,2016-01-04 09:53:48.072
Application_1962860870,A_Complete,User_7,2016-01-04 09:53:48.074
Application_1962860870,W_Call after offers,User_7,2016-01-04 09:53:51.957
Application_1300843234,A_Accepted,User_16,2016-01-04 09:55:37.398
Application_1363980603,O_Sent (mail and online),User_19,2016-01-04 09:55:52.384
Application_1363980603,W_Complete application,User_19,2016-01-04 09:55:52.465
Application_1363980603,W_Call after offers,User_19,2016-01-04 09:55:52.505
Application_1363980603,W_Call after offers,User_19,2016-01-04 09:55:52.526
Application_1363980603,A_Complete,User_19,2016-01-04 09:55:52.538
Application_1846626914,A_Accepted,User_38,2016-01-04 09:56:03.089
Application_1300843234,O_Create Offer,User_16,2016-01-04 09:58:16.573
Application_1300843234,O_Created,User_16,2016-01-04 09:58:17.935
Application_1300843234,O_Create Offer,User_16,2016-01-04 09:59:06.630
Application_1300843234,O_Created,User_16,2016-01-04 09:59:07.951
Application_1363980603,W_Call after offers,User_19,2016-01-04 09:59:11.702
Application_1300843234,O_Sent (mail and online),User_16,2016-01-04 09:59:52.439
Application_1300843234,W_Complete application,User_16,2016-01-04 09:59:52.549
Application_1300843234,W_Call after offers,User_16,2016-01-04 09:59:52.560
Application_1300843234,W_Call after offers,User_16,2016-01-04 09:59:52.563
Application_1300843234,A_Complete,User_16,2016-01-04 09:59:52.570
Application_1846626914,O_Create Offer,User_38,2016-01-04 10:01:49.261
Application_1846626914,O_Created,User_38,2016-01-04 10:01:50.603
Application_1300843234,W_Call after offers,User_16,2016-01-04 10:02:00.241
Application_1846626914,O_Sent (mail and online),User_38,2016-01-04 10:02:07.149
Application_1846626914,W_Call after offers,User_38,2016-01-04 10:02:07.175
Application_1846626914,W_Call after offers,User_38,2016-01-04 10:02:07.178
Application_1846626914,A_Complete,User_38,2016-01-04 10:02:07.180
Application_1846626914,W_Call after offers,User_38,2016-01-04 10:05:00.974
Application_1699757505,W_Complete application,User_89,2016-01-04 10:10:09.755
Application_842511489,W_Complete application,User_15,2016-01-04 10:10:57.239
Application_1699757505,W_Complete application,User_16,2016-01-04 10:12:29.430
Application_842511489,W_Complete application,User_15,2016-01-04 10:13:16.191
Application_1674281629,A_Create Application,User_43,2016-01-04 10:17:19.225
Application_1674281629,A_Concept,User_43,2016-01-04 10:17:19.229
Application_1674281629,W_Complete application,User_43,2016-01-04 10:17:19.243
Application_1674281629,W_Complete application,User_43,2016-01-04 10:17:19.245
Application_842511489,O_Create Offer,User_16,2016-01-04 10:17:58.657
Application_842511489,O_Created,User_16,2016-01-04 10:17:59.908
Application_1674281629,A_Accepted,User_43,2016-01-04 10:18:31.779
Application_842511489,O_Sent (mail and online),User_16,2016-01-04 10:18:35.535
Application_842511489,W_Complete application,User_16,2016-01-04 10:18:35.559
Application_842511489,W_Call after offers,User_16,2016-01-04 10:18:35.568
Application_842511489,W_Call after offers,User_16,2016-01-04 10:18:35.571
Application_842511489,A_Complete,User_16,2016-01-04 10:18:35.574
Application_1699757505,W_Complete application,User_89,2016-01-04 10:18:54.000
Application_842511489,W_Call after offers,User_16,2016-01-04 10:19:28.505
Application_821425679,W_Complete application,User_16,2016-01-04 10:19:38.665
Application_821425679,W_Complete application,User_16,2016-01-04 10:20:42.994
Application_1674281629,W_Complete application,User_43,2016-01-04 10:21:03.412
Application_299986859,A_Create Application,User_43,2016-01-04 10:23:38.465
Application_299986859,A_Concept,User_43,2016-01-04 10:23:38.468
Application_299986859,W_Complete application,User_43,2016-01-04 10:23:38.479
Application_299986859,W_Complete application,User_43,2016-01-04 10:23:38.483
Application_299986859,A_Accepted,User_43,2016-01-04 10:25:07.003
Application_1699757505,A_Accepted,User_89,2016-01-04 10:25:39.058
Application_299986859,O_Create Offer,User_43,2016-01-04 10:26:32.945
Application_299986859,O_Created,User_43,2016-01-04 10:26:34.262
Application_1699757505,O_Create Offer,User_89,2016-01-04 10:27:32.591
Application_1699757505,O_Created,User_89,2016-01-04 10:27:33.995
Application_1699757505,O_Sent (online only),User_89,2016-01-04 10:27:56.205
Application_1699757505,W_Call after offers,User_89,2016-01-04 10:27:56.237
Application_1699757505,W_Call after offers,User_89,2016-01-04 10:27:56.239
Application_1699757505,A_Complete,User_89,2016-01-04 10:27:56.240
Application_299986859,O_Sent (mail and online),User_43,2016-01-04 10:30:25.659
Application_299986859,W_Call after offers,User_43,2016-01-04 10:30:25.683
Application_299986859,W_Call after offers,User_43,2016-01-04 10:30:25.685
Application_299986859,A_Complete,User_43,2016-01-04 10:30:25.687
Application_1898882436,W_Complete application,User_28,2016-01-04 10:30:40.712
Application_299986859,W_Call after offers,User_43,2016-01-04 10:31:42.356
Application_1898882436,W_Complete application,User_28,2016-01-04 10:32:23.402
Application_1699757505,O_Create Offer,User_89,2016-01-04 10:33:40.864
Application_1699757505,O_Created,User_89,2016-01-04 10:33:43.362
Application_1699757505,O_Sent (mail and online),User_89,2016-01-04 10:33:59.363
Application_821425679,A_Accepted,User_19,2016-01-04 10:35:27.174
Application_821425679,O_Create Offer,User_19,2016-01-04 10:37:24.634
